USGS.SID,Sample.date..yyyymmdd.,Sample.time..hhmm.,medium.code,Sample.end.date..yyyymmdd.,Sample.end.time..hhmm.,01047,90868,,
391435106230801,20130530,1405,WG,,,9144.35,0.00,,
391435106230801,20130530,1352,OAQ,,,20.668,8.36,,
391452106224201,20130531,0925,WS,,,263.779,9.14,,
391454106224201,20130531,1020,WS,,,94.975,44.64,,
391504106223001,20130531,1500,WS,,,244.990,6.46,,
391443106225701,20130530,1600,WS,,,80.433,10.14,,
391443106225701,20130530,1607,WSQ,,,89.014,1.44,,
391445106230701,20130530,1520,WG,,,49.843,6.79,,
391512106230001,20130531,1045,WG,,,34.947,5.88,,
391512106230001,20130531,1047,WGQ,,,39.654,0.00,,
391517106230601,20130531,1130,WG,,,42.265,27.39,,
391517106230602,20130531,1200,WS,,,11.683,0.00,,
391518106230901,20130531,1230,WG,,,34.244,0.68,,
391519106230901,20130531,1250,WG,,,43.997,0.58,,
391517106230701,20130531,1330,WG,,,1.702,1.30,,
391500106224901,20130531,1050,WG,,,43.074,0.00,,
391500106224901,20130531,1057,WGQ,,,46.462,12.27,,
391501106224901,20130530,1715,WG,,,681.801,378.37,,
391501106225401,20130531,1230,WS,,,180.318,51.53,,
391501106225401,20130531,1212,OAQ,,,<9,<9,,
391504106225200,20130530,1230,WG,,,6898.10,0.00,,
391504106225200,20130530,1237,WGQ,,,7034.56,82.44,,
391504106225201,20130531,0950,WS,,,117.997,2.89,,
391504106225201,20130531,0952,OAQ,,,11.684,0.00,,
391501106225001,20130531,0920,WG,,,218.819,127.85,,
391513106230401,20130531,1620,WG,,,78575.3,293.27,,
391512106230401,20130531,1556,WG,,,29948.3,89.78,,
391501106230601,20130531,1305,WG,,,28890.0,598.52,,
391502106230601,20130531,1340,WS,,,526.186,191.83,,
391513106232601,20130531,1430,WG,,,283.316,0.00,,
391517106223801,20130530,1730,WG,,,1338.66,134.05,,
391559106230901,20130530,1400,WG,,,11.129,1.94,,
391600106235701,20130530,1430,WS,,,27.036,11.52,,
391606106241601,20130530,1545,WG,,,3768.60,48665.13,,
391600106235701,20130530,1432,OAQ,,,<9,<9,,
391435106230801,20130919,1445,WG,,,6573.68,227.59,,
391435106230801,20130919,1442,OAQ,,,<9,<9,,
391452106224201,20130920,1000,WS,,,213.020,0.00,,
391454106224201,20130920,1030,WS,,,136.808,98.46,,
391504106223001,20130920,1500,WS,,,249.643,56.15,,
391443106225701,20130919,1605,WS,,,158.568,0.00,,
391443106225701,20130919,1607,WSQ,,,144.396,0.00,,
391445106230701,20130919,1510,WG,,,38.661,0.00,,
391512106230001,20130920,1030,WG,,,31.087,3.78,,
391512106230001,20130920,1032,OAQ,,,<9,<9,,
391517106230601,20130920,1135,WG,,,2.861,13.97,,
391517106230602,20130920,1235,WS,,,29.069,2.35,,
391517106230602,20130920,1237,WSQ,,,36.369,0.00,,
391518106230901,20130920,1430,WG,,,16.127,13.81,,
391519106230901,20130920,1510,WG,,,25.454,0.00,,
391517106230701,20130920,1350,WG,,,18.844,15.89,,
391500106224901,20130919,1130,WG,,,32.957,19.77,,
391501106224901,20130919,1230,WG,,,954.038,486.24,,
391501106225401,20130920,1545,WS,,,854.424,550.23,,
391501106225401,20130920,1542,OAQ,,,<9,<9,,
391504106225200,20130919,1015,WG,,,6922.51,0.00,,
391504106225201,20130920,0940,WS,,,217.132,134.16,,
391501106225001,20130919,1320,WG,,,391.251,163.70,,
391501106225001,20130919,1312,OAQ,,,<9,<9,,
391513106230401,20131028,0925,WG,,,72928.3,1015.62,,
391512106230401,20131028,0915,WG,,,27564.5,174.31,,
391501106230601,20130920,1350,WG,,,43342.7,0.00,,
391502106230601,20130920,1320,WS,,,458.273,453.87,,
391502106230601,20130920,1327,WSQ,,,442.382,466.86,,
391513106232601,20130920,1230,WG,,,5218.76,656.63,,
391517106223801,20130919,1630,WG,,,26.103,37.70,,
391517106223801,20130919,1637,WGQ,,,20.572,20.75,,
391559106230901,20130919,1145,WG,,,10.482,15.20,,
391606106241601,20130919,1245,WG,,,6277.58,6022.27,,
