pcode,qa code,method code,rounding code,qualifiers,reporting level,reporting level type,dqi code,null value qualifier,prep set no,analytical set no,analysis date,prep date,lab comment,field comment,lab stdev,analyzing entity code
00930,,PLM58,,,0.047,lrl,S,,,,,,,,,MS-USM
00925,,PLM58,,,0.013,lrl,S,,,,,,,,,MS-USM
01106,,PLM58,,,1.4,lrl,S,,,,,,,,,MS-USM
00955,,PLM58,,,0.02353115,lrl,S,,,,,,,,,MS-USM
00945,,PLM58,,,0.170751169,lrl,S,,,,,,,,,MS-USM
00915,,PLM58,,,0.036,lrl,S,,,,,,,,,MS-USM
01056,,PLM58,,,1,lrl,S,,,,,,,,,MS-USM
01046,,PLM58,,,2,lrl,S,,,,,,,,,MS-USM
01090,,PLM58,,,1,lrl,S,,,,,,,,,MS-USM
00935,,PLM58,,,0.011,lrl,S,,,,,,,,,MS-USM
01075,,PLM58,,,0.02,lrl,S,,,,,,,,,MS-USM
01000,,PLM58,,,0.03,lrl,S,,,,,,,,,MS-USM
01005,,PLM58,,,0.02,lrl,S,,,,,,,,,MS-USM
01025,,PLM58,,,0.01,lrl,S,,,,,,,,,MS-USM
01035,,PLM58,,,0.002,lrl,S,,,,,,,,,MS-USM
01030,,PLM58,,,0.005,lrl,S,,,,,,,,,MS-USM
01040,,PLM58,,,0.06,lrl,S,,,,,,,,,MS-USM
01130,,PLM58,,,0.1,lrl,S,,,,,,,,,MS-USM
01060,,PLM58,,,0.01,lrl,S,,,,,,,,,MS-USM
01065,,PLM58,,,0.08,lrl,S,,,,,,,,,MS-USM
01049,,PLM58,,,0.006,lrl,S,,,,,,,,,MS-USM
01080,,PLM58,,,0.3,lrl,S,,,,,,,,,MS-USM
22703,,PLM58,,,0.002,lrl,S,,,,,,,,,MS-USM
01085,,PLM58,,,0.01,lrl,S,,,,,,,,,MS-USM
