pcode,qa code,method code,rounding code,qualifiers,reporting level,reporting level type,dqi code,null value qualifier,prep set no,analytical set no,analysis date,prep date,lab comment,field comment,lab stdev,analyzing entity code
00930,,PLM58,,,0,lrl,S,,,,,,,,,
00925,,PLM58,,,0,lrl,S,,,,,,,,,
01106,,PLM58,,,0,lrl,S,,,,,,,,,
00955,,PLM58,,,0.06,lrl,S,,,,,,,,,
00945,,PLM58,,,0.9,lrl,S,,,,,,,,,
00915,,PLM58,,,0.06,lrl,S,,,,,,,,,
01056,,PLM58,,,0.3,lrl,S,,,,,,,,,
01046,,PLM58,,,6,lrl,S,,,,,,,,,
01090,,PLM58,,,4,lrl,S,,,,,,,,,
00935,,PLM58,,,0.02,lrl,S,,,,,,,,,
01075,,PLM58,,,0.03,lrl,S,,,,,,,,,
01000,,PLM58,,,0.5,lrl,S,,,,,,,,,
01005,,PLM58,,,0.8,lrl,S,,,,,,,,,
01025,,PLM58,,,0.04,lrl,S,,,,,,,,,
01035,,PLM58,,,0,lrl,S,,,,,,,,,
01030,,PLM58,,,0,lrl,S,,,,,,,,,
01040,,PLM58,,,0.3,lrl,S,,,,,,,,,
01130,,PLM58,,,2,lrl,S,,,,,,,,,
01060,,PLM58,,,0.1,lrl,S,,,,,,,,,
01065,,PLM58,,,0,lrl,S,,,,,,,,,
01049,,PLM58,,,0.3,lrl,S,,,,,,,,,
01080,,PLM58,,,0,lrl,S,,,,,,,,,
22703,,PLM58,,,0.02,lrl,S,,,,,,,,,
01085,,PLM58,,,0,lrl,S,,,,,,,,,
00929,,PLM57,,,0,lrl,S,,,,,,,,,
00927,,PLM57,,,0,lrl,S,,,,,,,,,
01105,,PLM57,,,0,lrl,S,,,,,,,,,
00954,,PLM57,,,0.06,lrl,S,,,,,,,,,
00946,,PLM57,,,0.9,lrl,S,,,,,,,,,
00916,,PLM57,,,0.06,lrl,S,,,,,,,,,
01055,,PLM57,,,0.3,lrl,S,,,,,,,,,
01045,,PLM57,,,6,lrl,S,,,,,,,,,
01092,,PLM57,,,4,lrl,S,,,,,,,,,
00937,,PLM57,,,0.02,lrl,S,,,,,,,,,
01077,,PLM57,,,0.03,lrl,S,,,,,,,,,
00978,,PLM57,,,0.5,lrl,S,,,,,,,,,
01007,,PLM57,,,0.8,lrl,S,,,,,,,,,
01113,,PLM57,,,0.04,lrl,S,,,,,,,,,
01037,,PLM57,,,0,lrl,S,,,,,,,,,
01034,,PLM57,,,0,lrl,S,,,,,,,,,
01042,,PLM57,,,0.3,lrl,S,,,,,,,,,
01132,,PLM57,,,2,lrl,S,,,,,,,,,
01062,,PLM57,,,0.1,lrl,S,,,,,,,,,
01067,,PLM57,,,0,lrl,S,,,,,,,,,
01051,,PLM57,,,0.3,lrl,S,,,,,,,,,
01082,,PLM57,,,0,lrl,S,,,,,,,,,
22704,,PLM57,,,0.02,lrl,S,,,,,,,,,
00985,,PLM57,,,0,lrl,S,,,,,,,,,
