Env_SITE_NO	Env_STATION_NM	Env_RECORD_NO	Rep_RECORD_NO	Env_SAMPLE_START_DT	Rep_SAMPLE_START_DT	Env_LAB_NO	Rep_LAB_NO	PARM_CD	Env_PARM_NM	Env_RESULT_VA	Rep_RESULT_VA	Env_minus_Rep	relPercent_diff	Env_RPT_LEV_VA	Rep_RPT_LEV_VA	flags
391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	00306515	00307985	2002-11-13 09:20:00	2002-11-13 09:25:00	NA	NA	00010	Temperature, water	7.5	7.5	0	0	NA	NA	
391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	00306515	00307985	2002-11-13 09:20:00	2002-11-13 09:25:00	NA	NA	00095	Specific cond at 25C	438	438	0	0	NA	NA	
391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	00306515	00307985	2002-11-13 09:20:00	2002-11-13 09:25:00	NA	NA	00400	pH	6.18	6.23	-0.0500000000000007	-0.805801772763911	NA	NA	
391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	00306515	00307985	2002-11-13 09:20:00	2002-11-13 09:25:00	NA	NA	82082	H-2/H-1 ratio, wu	-142.98	-142.16	-0.819999999999993	0.575156063688008	NA	NA	
391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	00306515	00307985	2002-11-13 09:20:00	2002-11-13 09:25:00	NA	NA	82085	delta O-18, wu	-18.75	-18.72	-0.0300000000000011	0.160128102481992	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	00306533	00307986	2003-06-19 11:05:00	2003-06-19 11:08:00	NA	NA	00010	Temperature, water	7	7	0	0	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	00306533	00307986	2003-06-19 11:05:00	2003-06-19 11:08:00	NA	NA	00061	Discharge, instant.	14	14	0	0	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	00306533	00307986	2003-06-19 11:05:00	2003-06-19 11:08:00	NA	NA	00095	Specific cond at 25C	23	23	0	0	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	00306533	00307986	2003-06-19 11:05:00	2003-06-19 11:08:00	NA	NA	00400	pH	6.61	6.6	0.0100000000000007	0.151400454201373	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	00306533	00307986	2003-06-19 11:05:00	2003-06-19 11:08:00	NA	NA	82082	H-2/H-1 ratio, wu	-128.55	-129.15	0.599999999999994	-0.465657741559949	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	00306533	00307986	2003-06-19 11:05:00	2003-06-19 11:08:00	NA	NA	82085	delta O-18, wu	-17.49	-17.41	-0.0799999999999983	0.458452722063028	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	00306534	00307987	2003-08-12 10:10:00	2003-08-12 10:15:00	NA	NA	00010	Temperature, water	7.5	7.5	0	0	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	00306534	00307987	2003-08-12 10:10:00	2003-08-12 10:15:00	NA	NA	00061	Discharge, instant.	14	14	0	0	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	00306534	00307987	2003-08-12 10:10:00	2003-08-12 10:15:00	NA	NA	00095	Specific cond at 25C	24	24	0	0	NA	NA	
391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	00306534	00307987	2003-08-12 10:10:00	2003-08-12 10:15:00	NA	NA	00400	pH	6.69	5.96	0.73	11.5415019762846	NA	NA	
