Fil_SITE_NO	Fil_STATION_NM	RECORD_NO	Fil_SAMPLE_START_DT	Fil_LAB_NO	Unf_LAB_NO	Fil_PARM_CD	Fil_PARM_NM	Unf_PARM_CD	Unf_PARM_NM	Fil_RESULT_VA	Unf_RESULT_VA	Fil_RPT_LEV_VA	Unf_RPT_LEV_VA	flags
391521106225001	SC00908019BBDD1 WELL NR BARTLETT MINE DR NR LEADVI	00603675	2006-07-16 12:45:00	0960189	NA	01000	Arsenic, wf	NA	NA	3.48	NA	.04	0	
391521106225001	SC00908019BBDD1 WELL NR BARTLETT MINE DR NR LEADVI	00603675	2006-07-16 12:45:00	0960189	0960189	01005	Barium, wf	01007	Barium, wu,recov	67.09	68.33	.02	.02	
391521106225001	SC00908019BBDD1 WELL NR BARTLETT MINE DR NR LEADVI	00603675	2006-07-16 12:45:00	0960189	NA	01025	Cadmium, wf	NA	NA	0.01	NA	.01	0	
391521106225001	SC00908019BBDD1 WELL NR BARTLETT MINE DR NR LEADVI	00603675	2006-07-16 12:45:00	0960189	0960189	01030	Chromium, wf	01034	Chromium, wu,recov	0.7888	0.5901	.01	.01	Filtered > unfiltered and > 10% diff.
391521106225001	SC00908019BBDD1 WELL NR BARTLETT MINE DR NR LEADVI	00603675	2006-07-16 12:45:00	0960189	0960189	01035	Cobalt, wf	01037	Cobalt, wu,recov	0.1885	0.2853	.01	.01	
391521106225001	SC00908019BBDD1 WELL NR BARTLETT MINE DR NR LEADVI	00603675	2006-07-16 12:45:00	0960189	0960189	01040	Copper, wf	01042	Copper, wu,recov	0.13	2.29	.13	.13	
391521106225001	SC00908019BBDD1 WELL NR BARTLETT MINE DR NR LEADVI	00603675	2006-07-16 12:45:00	0960189	0960189	01046	Iron, wf	01045	Iron, wu,recov	3201	3450	6	6	
391521106225001	SC00908019BBDD1 WELL NR BARTLETT MINE DR NR LEADVI	00603675	2006-07-16 12:45:00	0960189	0960189	01049	Lead, wf	01051	Lead, wu,recov	0.02	0.3426	.02	.02	
391521106225001	SC00908019BBDD1 WELL NR BARTLETT MINE DR NR LEADVI	00603675	2006-07-16 12:45:00	0960189	0960189	01056	Manganese, wf	01055	Manganese, wu,recov	426.5	439.2	4	4	
391521106225001	SC00908019BBDD1 WELL NR BARTLETT MINE DR NR LEADVI	00603675	2006-07-16 12:45:00	0960189	0960189	01060	Molybdenum, wf	01062	Molybdenum, wu,recov	0.9739	0.9827	.03	.03	
391521106225001	SC00908019BBDD1 WELL NR BARTLETT MINE DR NR LEADVI	00603675	2006-07-16 12:45:00	0960189	0960189	01065	Nickel, wf	01067	Nickel, wu,recov	0.3731	0.6479	.1	.1	
391521106225001	SC00908019BBDD1 WELL NR BARTLETT MINE DR NR LEADVI	00603675	2006-07-16 12:45:00	0960189	0960189	01075	Silver, wf	01077	Silver, wu,recov	0.01	0.0344	.1	.1	
391521106225001	SC00908019BBDD1 WELL NR BARTLETT MINE DR NR LEADVI	00603675	2006-07-16 12:45:00	0960189	0960189	01080	Strontium, wf	01082	Strontium, wu,recov	78.31	75.27	.24	.24	Filtered > unfiltered
391521106225001	SC00908019BBDD1 WELL NR BARTLETT MINE DR NR LEADVI	00603675	2006-07-16 12:45:00	0960189	NA	01085	Vanadium, wf	NA	NA	0.0117	NA	.01	0	
391521106225001	SC00908019BBDD1 WELL NR BARTLETT MINE DR NR LEADVI	00603675	2006-07-16 12:45:00	0960189	0960189	01090	Zinc, wf	01092	Zinc, wu,recov	2.47	24.49	2	2	
391521106225001	SC00908019BBDD1 WELL NR BARTLETT MINE DR NR LEADVI	00603675	2006-07-16 12:45:00	0960189	NA	01090	Zinc, wf	NA	NA	2.47	NA	2	0	
391521106225001	SC00908019BBDD1 WELL NR BARTLETT MINE DR NR LEADVI	00603675	2006-07-16 12:45:00	0960189	0960189	01106	Aluminum, wf	01105	Aluminum, wu,recov	2	44.88	2	2	
391521106225001	SC00908019BBDD1 WELL NR BARTLETT MINE DR NR LEADVI	00603675	2006-07-16 12:45:00	0960189	0960189	01130	Lithium, wf	01132	Lithium, wu,recov	1.55	1.55	1.55	1.55	
391537106223401	SC00908018CDDA1 WELL NR BARTLETT GULCH NR LEADVILL	00603676	2006-07-14 16:00:00	0960190	NA	01000	Arsenic, wf	NA	NA	0.137	NA	.04	0	
391537106223401	SC00908018CDDA1 WELL NR BARTLETT GULCH NR LEADVILL	00603676	2006-07-14 16:00:00	0960190	0960190	01005	Barium, wf	01007	Barium, wu,recov	7.24	15.14	.02	.02	
391537106223401	SC00908018CDDA1 WELL NR BARTLETT GULCH NR LEADVILL	00603676	2006-07-14 16:00:00	0960190	NA	01025	Cadmium, wf	NA	NA	0.1047	NA	.01	0	
391537106223401	SC00908018CDDA1 WELL NR BARTLETT GULCH NR LEADVILL	00603676	2006-07-14 16:00:00	0960190	0960190	01030	Chromium, wf	01034	Chromium, wu,recov	0.546	1.12	.01	.01	
391537106223401	SC00908018CDDA1 WELL NR BARTLETT GULCH NR LEADVILL	00603676	2006-07-14 16:00:00	0960190	0960190	01035	Cobalt, wf	01037	Cobalt, wu,recov	0.0491	0.2283	.01	.01	
391537106223401	SC00908018CDDA1 WELL NR BARTLETT GULCH NR LEADVILL	00603676	2006-07-14 16:00:00	0960190	0960190	01040	Copper, wf	01042	Copper, wu,recov	0.26	1.81	.13	.13	
391537106223401	SC00908018CDDA1 WELL NR BARTLETT GULCH NR LEADVILL	00603676	2006-07-14 16:00:00	0960190	0960190	01046	Iron, wf	01045	Iron, wu,recov	12.13	1460	6	6	
391537106223401	SC00908018CDDA1 WELL NR BARTLETT GULCH NR LEADVILL	00603676	2006-07-14 16:00:00	0960190	0960190	01049	Lead, wf	01051	Lead, wu,recov	0.02	3.19	.02	.02	
391537106223401	SC00908018CDDA1 WELL NR BARTLETT GULCH NR LEADVILL	00603676	2006-07-14 16:00:00	0960190	0960190	01056	Manganese, wf	01055	Manganese, wu,recov	28.64	42.98	4	4	
391537106223401	SC00908018CDDA1 WELL NR BARTLETT GULCH NR LEADVILL	00603676	2006-07-14 16:00:00	0960190	0960190	01060	Molybdenum, wf	01062	Molybdenum, wu,recov	0.2287	0.1842	.03	.03	Filtered > unfiltered and > 10% diff.
391537106223401	SC00908018CDDA1 WELL NR BARTLETT GULCH NR LEADVILL	00603676	2006-07-14 16:00:00	0960190	0960190	01065	Nickel, wf	01067	Nickel, wu,recov	0.3862	0.6803	.1	.1	
391537106223401	SC00908018CDDA1 WELL NR BARTLETT GULCH NR LEADVILL	00603676	2006-07-14 16:00:00	0960190	0960190	01075	Silver, wf	01077	Silver, wu,recov	0.01	0.0396	.1	.1	
391537106223401	SC00908018CDDA1 WELL NR BARTLETT GULCH NR LEADVILL	00603676	2006-07-14 16:00:00	0960190	0960190	01080	Strontium, wf	01082	Strontium, wu,recov	34.89	36.63	.24	.24	
391537106223401	SC00908018CDDA1 WELL NR BARTLETT GULCH NR LEADVILL	00603676	2006-07-14 16:00:00	0960190	NA	01085	Vanadium, wf	NA	NA	0.0548	NA	.01	0	
391537106223401	SC00908018CDDA1 WELL NR BARTLETT GULCH NR LEADVILL	00603676	2006-07-14 16:00:00	0960190	0960190	01090	Zinc, wf	01092	Zinc, wu,recov	11.82	16.09	2	2	
391537106223401	SC00908018CDDA1 WELL NR BARTLETT GULCH NR LEADVILL	00603676	2006-07-14 16:00:00	0960190	NA	01090	Zinc, wf	NA	NA	11.82	NA	2	0	
391537106223401	SC00908018CDDA1 WELL NR BARTLETT GULCH NR LEADVILL	00603676	2006-07-14 16:00:00	0960190	0960190	01106	Aluminum, wf	01105	Aluminum, wu,recov	2	783.5	2	2	
391537106223401	SC00908018CDDA1 WELL NR BARTLETT GULCH NR LEADVILL	00603676	2006-07-14 16:00:00	0960190	0960190	01130	Lithium, wf	01132	Lithium, wu,recov	1.55	2.13	1.55	1.55	
391530106223601	SC00908019BDAB1 BG-011BARTLETTT GULCH 13 NR LEADVI	00603677	2006-06-07 14:30:00	W-91910	NA	01000	Arsenic, wf	NA	NA	1.3	NA	.04	0	
391530106223601	SC00908019BDAB1 BG-011BARTLETTT GULCH 13 NR LEADVI	00603677	2006-06-07 14:30:00	W-91910	NA	01005	Barium, wf	NA	NA	37.67	NA	.02	0	
391530106223601	SC00908019BDAB1 BG-011BARTLETTT GULCH 13 NR LEADVI	00603677	2006-06-07 14:30:00	W-91910	NA	01025	Cadmium, wf	NA	NA	4.76	NA	.01	0	
391530106223601	SC00908019BDAB1 BG-011BARTLETTT GULCH 13 NR LEADVI	00603677	2006-06-07 14:30:00	W-91910	NA	01030	Chromium, wf	NA	NA	1.11	NA	.01	0	
391530106223601	SC00908019BDAB1 BG-011BARTLETTT GULCH 13 NR LEADVI	00603677	2006-06-07 14:30:00	W-91910	NA	01035	Cobalt, wf	NA	NA	7.41	NA	.01	0	
391530106223601	SC00908019BDAB1 BG-011BARTLETTT GULCH 13 NR LEADVI	00603677	2006-06-07 14:30:00	W-91910	NA	01040	Copper, wf	NA	NA	20.48	NA	.13	0	
391530106223601	SC00908019BDAB1 BG-011BARTLETTT GULCH 13 NR LEADVI	00603677	2006-06-07 14:30:00	W-91910	NA	01046	Iron, wf	NA	NA	403	NA	6	0	
391530106223601	SC00908019BDAB1 BG-011BARTLETTT GULCH 13 NR LEADVI	00603677	2006-06-07 14:30:00	W-91910	NA	01049	Lead, wf	NA	NA	4.48	NA	.02	0	
391530106223601	SC00908019BDAB1 BG-011BARTLETTT GULCH 13 NR LEADVI	00603677	2006-06-07 14:30:00	W-91910	NA	01056	Manganese, wf	NA	NA	1020	NA	4	0	
391530106223601	SC00908019BDAB1 BG-011BARTLETTT GULCH 13 NR LEADVI	00603677	2006-06-07 14:30:00	W-91910	NA	01060	Molybdenum, wf	NA	NA	0.2235	NA	.03	0	
391530106223601	SC00908019BDAB1 BG-011BARTLETTT GULCH 13 NR LEADVI	00603677	2006-06-07 14:30:00	W-91910	NA	01065	Nickel, wf	NA	NA	6.64	NA	.1	0	
391530106223601	SC00908019BDAB1 BG-011BARTLETTT GULCH 13 NR LEADVI	00603677	2006-06-07 14:30:00	W-91910	NA	01075	Silver, wf	NA	NA	1.58	NA	.1	0	
391530106223601	SC00908019BDAB1 BG-011BARTLETTT GULCH 13 NR LEADVI	00603677	2006-06-07 14:30:00	W-91910	NA	01080	Strontium, wf	NA	NA	64.25	NA	.24	0	
391530106223601	SC00908019BDAB1 BG-011BARTLETTT GULCH 13 NR LEADVI	00603677	2006-06-07 14:30:00	W-91910	NA	01085	Vanadium, wf	NA	NA	0.4433	NA	.01	0	
391530106223601	SC00908019BDAB1 BG-011BARTLETTT GULCH 13 NR LEADVI	00603677	2006-06-07 14:30:00	W-91910	NA	01090	Zinc, wf	NA	NA	705.2	NA	2	0	
391530106223601	SC00908019BDAB1 BG-011BARTLETTT GULCH 13 NR LEADVI	00603677	2006-06-07 14:30:00	W-91910	NA	01090	Zinc, wf	NA	NA	705.2	NA	2	0	
391530106223601	SC00908019BDAB1 BG-011BARTLETTT GULCH 13 NR LEADVI	00603677	2006-06-07 14:30:00	W-91910	NA	01106	Aluminum, wf	NA	NA	403.5	NA	2	0	
391530106223601	SC00908019BDAB1 BG-011BARTLETTT GULCH 13 NR LEADVI	00603677	2006-06-07 14:30:00	W-91910	NA	01130	Lithium, wf	NA	NA	2.69	NA	1.55	0	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01000	Arsenic, wf	NA	NA	0.5046	NA	.04	0	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01005	Barium, wf	NA	NA	74.92	NA	.02	0	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01025	Cadmium, wf	NA	NA	0.8491	NA	.01	0	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01030	Chromium, wf	NA	NA	0.8677	NA	.01	0	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01035	Cobalt, wf	NA	NA	0.0317	NA	.01	0	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01040	Copper, wf	NA	NA	2.19	NA	.13	0	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01046	Iron, wf	NA	NA	9.61	NA	6	0	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01049	Lead, wf	NA	NA	0.1146	NA	.02	0	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01056	Manganese, wf	NA	NA	8.15	NA	4	0	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01060	Molybdenum, wf	NA	NA	0.0185	NA	.03	0	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01065	Nickel, wf	NA	NA	1.97	NA	.1	0	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01075	Silver, wf	NA	NA	0.3133	NA	.1	0	
391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	00603678	2006-06-06 16:00:00	W-91924	NA	01080	Strontium, wf	NA	NA	110.9	NA	.24	0	
