pcode,qa code,method code,rounding code,qualifiers,reporting level,reporting level type,dqi code,null value qualifier,prep set no,analytical set no,analysis date,prep date,lab comment,field comment,lab stdev,analyzing entity code
01130,,,3,,0.1,lrl,I,,,,,,,,,USGS-CWSC
01010,,,3,,0.05,lrl,I,,,,,,,,,USGS-CWSC
00930,,,3,,0.01,lrl,I,,,,,,,,,USGS-CWSC
00925,,,3,,0.01,lrl,I,,,,,,,,,USGS-CWSC
01106,,,3,,2,lrl,I,,,,,,,,,USGS-CWSC
00955,,,3,,0.2,lrl,I,,,,,,,,,USGS-CWSC
00666,,,3,,0.01,lrl,I,,,,,,,,,USGS-CWSC
00945,,,3,,2,lrl,I,,,,,,,,,USGS-CWSC
00935,,,3,,0.03,lrl,I,,,,,,,,,USGS-CWSC
00915,,,3,,0.2,lrl,I,,,,,,,,,USGS-CWSC
01187,,,3,,0.6,lrl,I,,,,,,,,,USGS-CWSC
01150,,,3,,0.5,lrl,I,,,,,,,,,USGS-CWSC
01085,,,3,,0.5,lrl,I,,,,,,,,,USGS-CWSC
01030,,,3,,1,lrl,I,,,,,,,,,USGS-CWSC
01046,,,3,,50,lrl,I,,,,,,,,,USGS-CWSC
01056,,,3,,0.2,lrl,I,,,,,,,,,USGS-CWSC
01065,,,3,,0.4,lrl,I,,,,,,,,,USGS-CWSC
01035,,,3,,0.02,lrl,I,,,,,,,,,USGS-CWSC
01040,,,3,,0.5,lrl,I,,,,,,,,,USGS-CWSC
01090,,,3,,3,lrl,I,,,,,,,,,USGS-CWSC
01120,,,3,,0.05,lrl,I,,,,,,,,,USGS-CWSC
01125,,,3,,0.05,lrl,I,,,,,,,,,USGS-CWSC
01000,,,3,,1,lrl,I,,,,,,,,,USGS-CWSC
01145,,,3,,1,lrl,I,,,,,,,,,USGS-CWSC
01135,,,3,,1,lrl,I,,,,,,,,,USGS-CWSC
01080,,,3,,0.5,lrl,I,,,,,,,,,USGS-CWSC
01201,,,3,,0.01,lrl,I,,,,,,,,,USGS-CWSC
01160,,,3,,0.2,lrl,I,,,,,,,,,USGS-CWSC
50580,,,3,,0.2,lrl,I,,,,,,,,,USGS-CWSC
01060,,,3,,2,lrl,I,,,,,,,,,USGS-CWSC
01075,,,3,,1,lrl,I,,,,,,,,,USGS-CWSC
01025,,,3,,0.02,lrl,I,,,,,,,,,USGS-CWSC
01095,,,3,,0.3,lrl,I,,,,,,,,,USGS-CWSC
01115,,,3,,0.02,lrl,I,,,,,,,,,USGS-CWSC
01005,,,3,,0.2,lrl,I,,,,,,,,,USGS-CWSC
