USGS.SID,Sample.date..yyyymmdd.,Sample.time..hhmm.,medium.code,Sample.end.date..yyyymmdd.,Sample.end.time..hhmm.,00418,29802,63786
391454106224201,20140529,1130,WS,,,0.8,1.6,<0.1
391500106224901,20140529,1215,WG,,,1.6,0.5,0.6e
391504106225200,20140529,1330,WG,,,23.9,21.5,26.3e
391443106225701,20140529,1205,WS,,,12.3,10.3,12.5e
391445106230701,20140529,1255,WG,,,27.3,25.2,30.8e
391449106232001,20140529,1345,WG,,,41.5,39.6,48.2e
391504106225201,20140529,1407,WSQ,,,1.3,-0.7,<0.1
391435106230801,20140529,1440,WG,,,28.7,26.4,32.2e
391501106230601,20140529,1630,WG,,,15.6,13.6,16.6e
391559106230901,20140530,940,WG,,,7.3,5.1,6.3e
391559106230901,20140530,947,WGQ,,,7.3,5.3,6.5e
391517106223801,20140530,1007,WGQ,,,4.1,2.1,2.9e
391530106223601,20140530,1305,WS,,,3.7,1.7,2.2e
391513106232601,20140530,1220,WG,,,3,1.1,1.4e
391519106230901,20140530,1345,WG,,,0.6,-0.7,0.9e
391512106230001,20140530,1200,WG,,,1.3,-0.8,0.3e
391517106230602,20140530,1300,WS,,,1.9,-0.1,1e
391517106230601,20140530,1245,WG,,,14.1,11.8,14.4e
391518106230901,20140530,1320,WG,,,4.3,2.3,3e
391512106230401,20140530,1555,WG,,,58.6,55.9,68.1e
391600106235701,20140612,1155,WS,,,5.2,3.7,4.5
391452106224201,20140923,1045,WS,,,8.9,7,8.6e
391454106224201,20140923,1145,WS,,,0.4,-2.1,<0.1
391559106230901,20140923,1407,WGQ,,,5.7,3.8,4.8e
391559106230901,20140923,1355,WG,,,6.2,4.1,5.1e
391435106230801,20140923,1610,WG,,,37.5,35.4,43.2e
391504106223001,20140923,1530,WS,,,9.6,7.6,9.3e
391504106225201,20140924,900,WS,,,<0.1,-1.7,<0.1
391449106232001,20140924,1015,WG,,,53.5,51.7,63.1e
391445106230701,20140924,930,WG,,,31.2,29.4,35.8e
391512106230001,20140924,957,WGQ,,,0.9,-1,0.5e
391512106230001,20140924,950,WG,,,0.6,-1.3,0.1e
391518106230901,20140924,1120,WG,,,7.2,5.1,6.4e
391512106230401,20140924,1340,WG,,,56.7,54.6,66.6e
391501106224901,20140529,1250,WG,,,<0.1,-19.3,<0.1
391501106225401,20140529,1530,WS,,,<0.1,-6.1,<0.1
391504106225201,20140529,1400,WS,,,<0.1,-1.3,<0.1
391502106230601,20140529,1625,WS,,,<0.1,-6.8,<0.1
391502106230601,20140529,1627,WSQ,,,<0.1,-4.2,<0.1
391504106223001,20140530,920,WS,,,11.6,8.4,10.3e
391517106223801,20140530,1000,WG,,,4.3,2.4,3.2e
391500106224901,20140923,1245,WG,,,<0.1,-2,<0.1
391500106224901,20140923,1247,WGQ,,,<0.1,-2.7,<0.1
391504106225200,20140923,1410,WG,,,24.3,21.5,26.3e
391501106224901,20140923,1315,WG,,,<0.1,-17.9,<0.1
391606106241601,20140923,1215,WG,,,<0.1,-40.4,<0.1
391517106223801,20140923,1645,WG,,,<0.1,9,11e
391443106225701,20140924,900,WS,,,43.3,41.7,50.8e
391517106230601,20140924,1050,WG,,,18.4,16.7,20.4e
391517106230602,20140924,1030,WS,,,<0.1,-0.5,0.4e
391513106232601,20140924,1130,WG,,,<0.1,-6.5,<0.1
391519106230901,20140924,1105,WG,,,<0.1,-2,<0.1
391502106230601,20140924,1240,WS,,,<0.1,-11.5,<0.1
391501106230601,20140924,1340,WG,,,28,31.6,35.1e
391513106230401,20140924,1350,WG,,,36,41.2,41.5e
391501106225401,20140924,1425,WS,,,<0.1,-11.6,<0.1
391502106230601,20140924,1247,WSQ,,,<0.1,-11.1,<0.1
391504106225200,20130530,1230,WG,,,20.1,18.4,22.4
391504106225200,20130530,1237,WGQ,,,20.1,18.3,22.4
391559106230901,20130530,1400,WG,,,4.5,2.7,3.4
391435106230801,20130530,1405,WG,,,32.4,30.3,36.9e
391600106235701,20130530,1430,WS,,,4.9,3.2,3.9
391606106241601,20130530,1545,WG,,,<0.1,<0.1,<0.1
391445106230701,20130530,1520,WG,,,32.9,31,37.8
391443106225701,20130530,1600,WS,,,10.6,8.8,10.7
391443106225701,20130530,1607,WSQ,,,10.5,8.7,10.7
391501106224901,20130530,1715,WG,,,<0.1,-15.09,<0.1
391517106223801,20130530,1730,WG,,,7.2,5.4,6.7
391501106225001,20130531,920,WG,,,<0.1,-4.3,<0.1
391452106224201,20130531,925,WS,,,11.5,8.8,10.7e
391504106225201,20130531,950,WS,,,1.7,-1.2,<0.1
391454106224201,20130531,1020,WS,,,1.0,-2,<0.1
