RECORD_NO	AGENCY_CD	SITE_NO	MEDIUM_CD	SAMPLE_START_DT	SAMPLE_START_SG	SAMPLE_START_TZ_CD	SAMPLE_START_LOCAL_TM_FG	SAMPLE_END_DT	SAMPLE_END_SG	SAMPLE_END_TZ_CD	SAMPLE_END_LOCAL_TM_FG	SAMPLE_ID	TM_DATUM_RLBLTY_CD	ANL_STAT_CD	HYD_COND_CD	SAMP_TYPE_CD	HYD_EVENT_CD	PROJECT_CD	AQFR_CD	LAB_NO	TU_ID	BODY_PART_ID	COLL_ENT_CD	SIDNO_PARTY_CD	SAMPLE_CN	SAMPLE_CR	SAMPLE_MN	SAMPLE_MD	STATION_NM	DEC_LAT_VA	DEC_LONG_VA	HUC_CD	Stream width	Temperature, water	Temperature, air	Air pressure	Discharge, instant.	No. of sampling pts.	Gage height	Specific cond at 25C	Dissolved oxygen	pH	ANC, wu,fxdEP,fld	Alkalinity, wf,fixedEP,field	Phosphorus, wu	Phosphorus, wf	Calcium, wf	Calcium, wu,recov	Magnesium, wf	Magnesium, wu,recov	Sodium, wu,recov	Sodium, wf	Potassium, wf	Potassium, wu,recov	Chloride, wf	Sulfate, wf	Sulfate, wu	Silica, wu	Silica, wf	Silica, wu.1	Arsenic, wu	Vanadium, wu	Arsenic, wf	Barium, wf	Barium, wu,recov	Beryllium, wf	Beryllium, wu,recov	Bismuth, wf	Bismuth, wu	Cadmium, wf	Chromium, wf	Chromium, wu,recov	Cobalt, wf	Cobalt, wu,recov	Copper, wf	Copper, wu,recov	Iron, wu,recov	Iron, wf	Iron(II), wf	Lead, wf	Lead, wu,recov	Manganese, wu,recov	Manganese, wf	Thallium, wf	Thallium, wu	Molybdenum, wf	Molybdenum, wu,recov	Nickel, wf	Nickel, wu,recov	Silver, wf	Silver, wu,recov	Strontium, wf	Strontium, wu,recov	Vanadium, wf	Zinc, wf	Zinc, wu,recov	Antimony, wf	Antimony, wu	Aluminum, wu,recov	Aluminum, wf	Cerium, wf	Cerium, wu	Cadmium, wu,recov	Cesium, wf	Cesium, wu	Gallium, wf	Gallium, wu	Germanium, wf	Germanium, wu	Lithium, wf	Lithium, wu,recov	Rubidium, wf	Rubidium, wu	Selenium, wf	Selenium, wu	Titanium, wf	Titanium, wu	Tungsten, wu	Tungsten, wf	Zirconium, wf	Zirconium, wu	Lanthanum, wf	Lanthanum, wu	Scandium, wf	Scandium, wu	Ytterbium, wf	Ytterbium, wu	Yttrium, wf	Yttrium, wu	Terbium, wu	Gadolinium, wu	Europium, wu	Neodymium, wu	Praseodymium, wu	Niobium, wu	Lutetium, wu	Thulium, wu	Erbium, wu	Holmium, wu	Oil & grease, severity	Suds or foam, severity	Float.Garbage, svrty	Floating algae mats, severity	Odor, severity	Dead fish, severity	Floating debris, severity	Turbidity, severity	Tritium, wu	Uranium, wf	Uranium, wu	Bicarbonate, wu,Gran,field	Alkalinity,wf,Gran,field	ANC, wu,Gran,field	Transit rate, sampler	Site visit purpose	Erbium, wf	Europium, wf	Gadolinium, wf	Holmium, wf	Neodymium, wf	Niobium, wf	Praseodymium, wf	Terbium, wf	Thulium, wf	Lutetium, wf	Bicarbonate, wf, Gran, field	Hydrogen sulfide, wu	Sample purpose	Sample source	Sampling condition	Sample location, downstream	Sample location, upstream	Tritium 2scu, wu	Sulfur, wu	Stream velocity	H-2/H-1 ratio, wu	delta O-18, wu	Tantalum, wu	Tantalum, wf	Samarium, wu	Samarium, wf	Dysprosium, wu	Dysprosium, wf	Thorium, wu	Thorium, wf	Sampling method	Sampler type	Sample splitter type	Iron(III), calculated, wf	Type of replicate	Type of QA data	Topical QC data purpose	SpecCond,wu25degCLab	Type of blank solution	Source of blank solution	Type of blank sample	Source of reference material	Lot No, 1st, inorg grade watr
00306511	USGS 	391435106225801	WG 	2002-11-13 10:00:00	m	MST   	N	NA	NA	NA	NA	NA	K	U	X	9	X	8582-9YD1	NA	NA	NA	NA	USGS-WRD	NA	keelin  	2008-01-15 17:16:35	keelin  	2008-01-15 17:16:35	SC00908030BBB PPS PERISCOPE PIPE SPRING	39.2430555555556	-106.382777777778	11020001	NA	7.5 	NA	NA	NA	NA	NA	3829 	NA	6.12 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-140.44 	-18.35 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
00306512	USGS 	391435106225801	WG 	2003-05-16 14:05:00	m	MST   	Y	NA	NA	NA	NA	NA	K	U	X	9	X	8582-9YD1	NA	NA	NA	NA	USGS-WRD	NA	keelin  	2008-01-15 17:16:35	keelin  	2008-01-15 17:16:35	SC00908030BBB PPS PERISCOPE PIPE SPRING	39.2430555555556	-106.382777777778	11020001	NA	6.5 	NA	NA	NA	NA	NA	3742 	NA	6.46 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-136.33 	-17.28 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
00306513	USGS 	391435106225801	WG 	2003-06-19 12:45:00	m	MST   	Y	NA	NA	NA	NA	NA	K	U	X	9	X	8582-9YD1	NA	NA	NA	NA	USGS-WRD	NA	keelin  	2008-01-15 17:16:35	keelin  	2008-01-15 17:16:35	SC00908030BBB PPS PERISCOPE PIPE SPRING	39.2430555555556	-106.382777777778	11020001	NA	NA	NA	NA	NA	NA	NA	3825 	NA	6.43 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-133.71 	-16.94 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
00306514	USGS 	391435106225801	WG 	2003-08-12 12:55:00	m	MST   	Y	NA	NA	NA	NA	NA	K	U	X	9	X	8582-9YD1	NA	NA	NA	NA	USGS-WRD	NA	keelin  	2008-01-15 17:16:35	keelin  	2008-01-15 17:16:35	SC00908030BBB PPS PERISCOPE PIPE SPRING	39.2430555555556	-106.382777777778	11020001	NA	8 	NA	NA	NA	NA	NA	3906 	NA	6.52 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-131.53 	-16.56 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
00306515	USGS 	391435106230801	WG 	2002-11-13 09:20:00	m	MST   	N	NA	NA	NA	NA	NA	K	U	X	7	X	8582-9YD1	NA	NA	NA	NA	USGS-WRD	NA	keelin  	2008-01-15 17:16:38	keelin  	2008-01-15 17:16:38	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	39.2430555555556	-106.385555555556	11020001	NA	7.5 	NA	NA	.12 E	NA	NA	438 	NA	6.18 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-142.98 	-18.75 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
00306516	USGS 	391435106230801	WG 	2003-05-16 13:50:00	m	MST   	Y	NA	NA	NA	NA	NA	K	U	X	9	X	8582-9YD1	NA	NA	NA	NA	USGS-WRD	NA	keelin  	2008-01-15 17:16:39	keelin  	2008-01-15 17:16:39	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	39.2430555555556	-106.385555555556	11020001	NA	9 	NA	NA	NA	NA	NA	472 	NA	6.12 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-141.25 	-18.68 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
00306517	USGS 	391435106230801	WG 	2003-06-19 12:35:00	m	MST   	Y	NA	NA	NA	NA	NA	K	U	X	9	X	8582-9YD1	NA	NA	NA	NA	USGS-WRD	NA	keelin  	2008-01-15 17:16:39	keelin  	2008-01-15 17:16:39	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	39.2430555555556	-106.385555555556	11020001	NA	8 	NA	NA	NA	NA	NA	451 	NA	6.27 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-140.84 	-18.59 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
00306518	USGS 	391435106230801	WG 	2003-08-12 12:40:00	m	MST   	Y	NA	NA	NA	NA	NA	K	U	X	9	X	8582-9YD1	NA	NA	NA	NA	USGS-WRD	NA	keelin  	2008-01-15 17:16:39	keelin  	2008-01-15 17:16:39	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	39.2430555555556	-106.385555555556	11020001	NA	8 	NA	NA	NA	NA	NA	427 	NA	6.29 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-141.1 	-18.55 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
00306523	USGS 	391500106224901	WG 	2003-06-19 12:10:00	m	MST   	Y	NA	NA	NA	NA	NA	K	U	X	9	X	8582-9YD1	NA	NA	NA	NA	USGS-WRD	NA	keelin  	2008-01-15 17:16:42	keelin  	2008-01-15 17:16:42	UNNAMED MINE DRAINAGE TUNNEL BLW TURQ LK NR LEADVI	39.25	-106.380277777778	11020001	NA	4.5 	NA	NA	NA	NA	NA	156 	NA	4.52 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-132.66 	-17.51 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
00306528	USGS 	391502106230601	WS 	2003-05-16 13:10:00	m	MST   	Y	NA	NA	NA	NA	NA	K	U	9	9	9	8582-9YD1	NA	NA	NA	NA	USGS-WRD	NA	keelin  	2008-01-15 17:16:47	keelin  	2008-01-15 17:16:47	SUGARLOAF GL ABV NELSON MINE DR TUNL ABV LAKE FORK	39.2505555555556	-106.385	11020001	NA	5.5 	NA	NA	NA	NA	NA	183 	NA	4.11 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-133.34 	-17.54 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
