RECORD_NO	SITE_NO	STATION_NM	SAMPLE_START_DT	MEDIUM_CD	Fil.greater.Unf	Fil.greater.Unf.10perc	RPD.greater.10perc	RPD.greater.10perc.DL	imbalance.greater.10perc	imbalance.greater.10perc.complete
00602523	391516106224601	SC00908019BDBB1 BPS-02 BUFFALO PK SEEP NR LEADVILL	2006-06-06 15:55:00	OAQ	0	0			TRUE	TRUE
00602524	391517106224701	SC00908019BDBB2 BPS-03 BUFFALO PK SEEP NR LEADVILL	2006-07-12 13:30:00	OAQ	0	2			TRUE	TRUE
00602525	391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2006-06-06 15:45:00	OAQ	0	0			TRUE	TRUE
00602526	391414106231001	CG-01 COLORADO GULCH UPSTREAM FROM MOUTH NR LEADVI	2006-06-07 12:00:00	WSQ	1	3			TRUE	TRUE
00602527	391414106231001	CG-01 COLORADO GULCH UPSTREAM FROM MOUTH NR LEADVI	2006-06-07 12:02:00	WSQ	1	0			TRUE	TRUE
00602528	391510106241001	SC00908124BCCB1 CG-05 CABIN SHAFT NR COLORADO GULC	2006-06-07 10:35:00	OAQ	2	0			TRUE	TRUE
00602529	391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2006-07-12 10:20:00	OAQ	0	2			TRUE	TRUE
00602530	391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2006-08-24 09:45:00	OAQ	0	4			TRUE	TRUE
00602531	391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2006-08-24 15:30:00	WSQ	2	4			FALSE	FALSE
00602532	391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2006-08-24 15:35:00	WSQ	0	2			TRUE	TRUE
00602533	391454106224201	LF-537 SUGARLOAF GULCH AT MOUTH NR LEADVILLE, CO	2006-07-12 10:01:00	WSQ	1	1			FALSE	FALSE
00602534	391454106224201	LF-537 SUGARLOAF GULCH AT MOUTH NR LEADVILLE, CO	2006-07-12 10:02:00	WSQ	0	0			TRUE	FALSE
00602537	391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2006-06-06 11:10:00	WGQ	3	1			FALSE	FALSE
00602539	391435106230801	SIWATCH MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEAD	2006-07-12 12:55:00	WGQ	6	0			FALSE	FALSE
00602574	391445106230901	SBG-01 STRAWBERRY GULCH 01 NR LEADVILLE, CO	2006-06-07 13:30:00	OAQ	1	1			TRUE	TRUE
00602575	391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2006-08-24 10:45:00	OAQ	1	1			TRUE	TRUE
00602576	391537106223401	SC00908018CDDA1 WELL NR BARTLETT GULCH NR LEADVILL	2006-07-14 14:05:00	OAQ	2	0			TRUE	TRUE
00602577	391537106223401	SC00908018CDDA1 WELL NR BARTLETT GULCH NR LEADVILL	2006-07-14 16:05:00	WGQ	1	0			TRUE	TRUE
00602582	391414106231001	CG-01 COLORADO GULCH UPSTREAM FROM MOUTH NR LEADVI	2006-07-17 12:05:00	WSQ	0	0			TRUE	TRUE
00602583	391452106224201	LF-580 LAKEFORK DS FROM SUGARLOAF GULCH NR LEADVIL	2006-06-15 14:20:00	WSQ	0	0			TRUE	TRUE
00602584	391501106224901	SC00908124CBAD2 SLGS-07 SUGARLOAF GULCH SEEP 7	2006-06-15 14:15:00	WGQ	0	0			TRUE	TRUE
00602612	391501106224901	SC00908124CBAD2 SLGS-07 SUGARLOAF GULCH SEEP 7	2006-06-15 14:20:00	WGQ	0	0			TRUE	TRUE
00602613	391452106224201	LF-580 LAKEFORK DS FROM SUGARLOAF GULCH NR LEADVIL	2006-06-15 14:25:00	WSQ	0	0			TRUE	TRUE
00602614	391414106231001	CG-01 COLORADO GULCH UPSTREAM FROM MOUTH NR LEADVI	2006-07-17 12:10:00	WSQ	0	0			TRUE	TRUE
00603675	391521106225001	SC00908019BBDD1 WELL NR BARTLETT MINE DR NR LEADVI	2006-07-16 12:45:00	WG 	1	1			FALSE	FALSE
00603676	391537106223401	SC00908018CDDA1 WELL NR BARTLETT GULCH NR LEADVILL	2006-07-14 16:00:00	WG 	0	1	4	4	FALSE	FALSE
00603677	391530106223601	SC00908019BDAB1 BG-011BARTLETTT GULCH 13 NR LEADVI	2006-06-07 14:30:00	WS 	0	0			TRUE	TRUE
00603678	391517106223701	SC00908019BDAB1 BGS-01 BARTLETT GULCH SEEP 1 NR LE	2006-06-06 16:00:00	WG 	0	0			TRUE	TRUE
00603679	391540106230501	SC00908113DDAD1 BGS-11 BARTLETT GULCH SEEP 11 NR L	2006-06-07 13:00:00	WG 	0	0			TRUE	TRUE
00603680	391541106231501	SC00908113DDBD1 BGS-12 BARTLETT GULCH SEEP 12 NR L	2006-06-07 14:00:00	WG 	0	0			TRUE	TRUE
00603681	391523106225201	SC00908019BBDA1 BPS-01 BUFFALO PK SEEP NR LEADVILL	2006-06-06 15:20:00	WG 	0	0			TRUE	TRUE
00603682	391516106224601	SC00908019BDBB1 BPS-02 BUFFALO PK SEEP NR LEADVILL	2006-06-06 15:55:00	WG 	0	0			TRUE	TRUE
00603683	391517106224701	SC00908019BDBB2 BPS-03 BUFFALO PK SEEP NR LEADVILL	2006-07-12 12:45:00	WG 	0	0			TRUE	TRUE
00603685	391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2006-06-06 15:10:00	WG 	3	1			FALSE	FALSE
00603686	391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2006-07-12 12:00:00	WG 	4	2			FALSE	FALSE
00603687	391517106223801	BARTLETT MINE DRAINAGE TUNNEL BLW TURQ LAKE NR LEA	2006-08-24 11:50:00	WG 	1	0			FALSE	FALSE
00603688	391414106231001	CG-01 COLORADO GULCH UPSTREAM FROM MOUTH NR LEADVI	2006-06-07 11:58:00	WS 	1	0	5	20	FALSE	FALSE
00603689	391414106231001	CG-01 COLORADO GULCH UPSTREAM FROM MOUTH NR LEADVI	2006-07-12 12:05:00	WS 	1	1			FALSE	FALSE
00603690	391414106231001	CG-01 COLORADO GULCH UPSTREAM FROM MOUTH NR LEADVI	2006-08-24 12:00:00	WS 	4	0			FALSE	FALSE
00603691	391510106241001	SC00908124BCCB1 CG-05 CABIN SHAFT NR COLORADO GULC	2006-06-07 10:25:00	WG 	1	0			FALSE	FALSE
00603692	391510106241001	SC00908124BCCB1 CG-05 CABIN SHAFT NR COLORADO GULC	2006-07-12 15:30:00	WG 	0	0			TRUE	TRUE
00603693	391510106241001	SC00908124BCCB1 CG-05 CABIN SHAFT NR COLORADO GULC	2006-08-24 12:55:00	WG 	0	0			FALSE	FALSE
00603694	391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2006-06-07 08:45:00	WG 	2	1			FALSE	FALSE
00603695	391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2006-07-12 10:05:00	WG 	2	0			FALSE	FALSE
00603696	391504106225200	DINERO MINE DRAINAGE TUNNEL BLW TURQUOISE LK NR LE	2006-08-24 09:20:00	WG 	1	1			FALSE	FALSE
00603697	391541106223101	SC00908018CDAD1 WELL NR TURQUOISE LK NR LEADVILLE,	2006-07-14 12:30:00	WG 	2	1			FALSE	FALSE
00603698	391512106224001	SC00908019BDCA1 K-ADIT MINE DRAINAGE TUN NR LEADVI	2006-06-06 16:30:00	WG 	0	0			TRUE	TRUE
00603699	391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2006-06-07 14:43:00	WS 	0	1			FALSE	FALSE
00603700	391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2006-07-12 15:00:00	WS 	1	1			FALSE	FALSE
00603701	391504106223001	LAKE FORK BELOW TURQUOISE LAKE NEAR LEADVILLE, CO	2006-08-24 15:25:00	WS 	1	1	15	22	FALSE	FALSE
00603703	391454106224201	LF-537 SUGARLOAF GULCH AT MOUTH NR LEADVILLE, CO	2006-06-07 09:40:00	WS 	1	1			FALSE	FALSE
00603704	391454106224201	LF-537 SUGARLOAF GULCH AT MOUTH NR LEADVILLE, CO	2006-07-12 10:00:00	WS 	3	0	5	11	FALSE	FALSE
00603705	391454106224201	LF-537 SUGARLOAF GULCH AT MOUTH NR LEADVILLE, CO	2006-08-24 10:10:00	WS 	1	1			FALSE	FALSE
00603706	391452106224201	LF-580 LAKEFORK DS FROM SUGARLOAF GULCH NR LEADVIL	2006-06-07 09:50:00	WS 	3	1			FALSE	FALSE
00603707	391452106224201	LF-580 LAKEFORK DS FROM SUGARLOAF GULCH NR LEADVIL	2006-07-12 09:30:00	WS 	2	3			FALSE	FALSE
00603708	391452106224201	LF-580 LAKEFORK DS FROM SUGARLOAF GULCH NR LEADVIL	2006-08-24 09:45:00	WS 	0	0			FALSE	FALSE
00603709	391504106225201	LSG-0 LITTLE SUGARLOAF GULCH US FROM DINERO MINE D	2006-06-05 17:30:00	WS 	0	1			FALSE	FALSE
00603711	391517106230602	LSG-06 LITTLE SUGARLOAF GL 6 NR LEADVILLE, CO	2006-06-05 15:55:00	WS 	0	0			TRUE	TRUE
00603712	391506106225201	SC00908019BCDD1 LSGS-01 LITTLE SUGARLOAF GL SEEP 1	2006-06-05 13:29:00	WG 	0	0			TRUE	TRUE
00603713	391512106230001	SC00908019BCCA1 LSGS-03 LITTLE SUGARLOAF GL SEEP 3	2006-06-05 14:40:00	WG 	0	0			TRUE	TRUE
00603714	391516106230301	SC00908019BCBB1 LSGS-04 LITTLE SUGARLOAF GL SEEP 4	2006-06-05 15:20:00	WG 	0	0			TRUE	TRUE
00603715	391517106230601	SC00908124ADAA1 LSGS-05 LITTLE SUGARLOAF GL SEEP 5	2006-06-05 15:35:00	WG 	0	0			TRUE	TRUE
00603716	391521106231001	SC00908124AADC1 LSGS-07 LITTLE SUGARLOAF GL SEEP 7	2006-06-05 16:20:00	WG 	0	0			TRUE	TRUE
00603717	391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2006-06-06 10:50:00	WG 	2	1	5	3	FALSE	FALSE
00603718	391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2006-07-12 09:15:00	WG 	0	5			FALSE	FALSE
00603719	391501106230601	NELSON MINE DRAINAGE TUN BLW TURQ LAKE NR LEADVILL	2006-08-24 10:45:00	WG 	0	1			FALSE	FALSE
