PARM_CD	PARM_SEQ_GRP_CD	PARM_DS	RPT_LEV_VA	num_blanks	num_detects	num_e_detects	num_detects_10xRL	median_detected_value	max_detected_value	BD_90.90
00985	IMM	Vanadium, water, unfiltered, recoverable, micrograms per liter	.5	15	0	0	0	NA	-Inf	NA
01005	IMM	Barium, water, filtered, micrograms per liter	.2	15	9	0	1	0.8	5.4	5.4
01007	IMM	Barium, water, unfiltered, recoverable, micrograms per liter	.2	15	9	0	2	1.5	2	2
01010	IMM	Beryllium, water, filtered, micrograms per liter	.05	15	8	0	0	0.08	0.23	0.23
01012	IMM	Beryllium, water, unfiltered, recoverable, micrograms per liter	.05	15	8	0	0	0.08	0.18	0.18
01015	IMM	Bismuth, water, filtered, micrograms per liter	.2	15	0	0	0	NA	-Inf	NA
01017	IMM	Bismuth, water, unfiltered, micrograms per liter	.2	15	0	0	0	NA	-Inf	NA
01025	IMM	Cadmium, water, filtered, micrograms per liter	.02	15	8	0	2	0.105	0.74	0.74
01030	IMM	Chromium, water, filtered, micrograms per liter	1	15	0	0	0	NA	-Inf	NA
01034	IMM	Chromium, water, unfiltered, recoverable, micrograms per liter	1	15	0	0	0	NA	-Inf	NA
01035	IMM	Cobalt, water, filtered, micrograms per liter	.02	15	11	0	4	0.16	0.34	0.34
01037	IMM	Cobalt, water, unfiltered, recoverable, micrograms per liter	.02	15	8	0	4	0.52	9.6	9.6
01040	IMM	Copper, water, filtered, micrograms per liter	.5	15	6	0	1	1.235	14.9	14.9
01042	IMM	Copper, water, unfiltered, recoverable, micrograms per liter	.5	15	8	0	1	1.85	5.3	5.3
01045	IMM	Iron, water, unfiltered, recoverable, micrograms per liter	50	15	2	0	0	67.5	81	81
01046	IMM	Iron, water, filtered, micrograms per liter	50	16	2	0	1	34.5	62	62
01046	IMM	Iron, water, filtered, micrograms per liter	.002	16	2	0	1	34.5	62	62
01047	IMM	Iron(II), water, filtered, micrograms per liter	9	16	4	0	0	11.342	20.668	20.668
01047	IMM	Iron(II), water, filtered, micrograms per liter	2	16	4	0	0	11.342	20.668	20.668
01049	IMM	Lead, water, filtered, micrograms per liter	.05	15	8	0	1	0.3	0.63	0.63
01051	IMM	Lead, water, unfiltered, recoverable, micrograms per liter	.05	15	8	0	4	0.625	7.46	7.46
01055	IMM	Manganese, water, unfiltered, recoverable, micrograms per liter	.2	15	8	0	4	3.05	109	109
01056	IMM	Manganese, water, filtered, micrograms per liter	.2	15	8	0	4	2.3	11	11
01057	IMM	Thallium, water, filtered, micrograms per liter	.1	15	0	0	0	NA	-Inf	NA
01059	IMM	Thallium, water, unfiltered, micrograms per liter	.1	15	2	0	0	0.145	0.17	0.17
01060	IMM	Molybdenum, water, filtered, micrograms per liter	2	15	0	0	0	NA	-Inf	NA
01062	IMM	Molybdenum, water, unfiltered, recoverable, micrograms per liter	2	15	0	0	0	NA	-Inf	NA
01065	IMM	Nickel, water, filtered, micrograms per liter	.4	15	3	0	0	1	2	2
01067	IMM	Nickel, water, unfiltered, recoverable, micrograms per liter	.4	15	5	0	0	1.1	1.8	1.8
01075	IMM	Silver, water, filtered, micrograms per liter	1	15	0	0	0	NA	-Inf	NA
01077	IMM	Silver, water, unfiltered, recoverable, micrograms per liter	1	15	0	0	0	NA	-Inf	NA
01080	IMM	Strontium, water, filtered, micrograms per liter	.5	15	3	0	0	0.76	0.77	0.77
01082	IMM	Strontium, water, unfiltered, recoverable, micrograms per liter	.5	15	4	0	0	1.61	3.4	3.4
01085	IMM	Vanadium, water, filtered, micrograms per liter	.5	15	0	0	0	NA	-Inf	NA
01090	IMM	Zinc, water, filtered, micrograms per liter	3	15	8	0	1	13.85	47	47
01092	IMM	Zinc, water, unfiltered, recoverable, micrograms per liter	3	15	8	0	3	13.35	79.5	79.5
01105	IMM	Aluminum, water, unfiltered, recoverable, micrograms per liter	2	15	10	0	7	23.15	63.9	63.9
01106	IMM	Aluminum, water, filtered, micrograms per liter	2	15	11	0	3	16	70.3	70.3
01110	IMM	Cerium, water, filtered, micrograms per liter	.01	15	10	0	3	0.083	0.19	0.19
01112	IMM	Cerium, water, unfiltered, micrograms per liter	.01	15	10	0	3	0.0715	0.53	0.53
01113	IMM	Cadmium, water, unfiltered, recoverable, micrograms per liter	.02	15	8	0	2	0.066	0.54	0.54
01115	IMM	Cesium, water, filtered, micrograms per liter	.02	15	0	0	0	NA	-Inf	NA
01117	IMM	Cesium, water, unfiltered, micrograms per liter	.02	15	2	0	0	0.08	0.13	0.13
01120	IMM	Gallium, water, filtered, micrograms per liter	.05	15	0	0	0	NA	-Inf	NA
01122	IMM	Gallium, water, unfiltered, micrograms per liter	.05	15	2	0	0	0.17	0.27	0.27
01130	IMM	Lithium, water, filtered, micrograms per liter	.1	15	15	0	15	2	14.1	14.1
01132	IMM	Lithium, water, unfiltered, recoverable, micrograms per liter	.1	15	15	0	15	2	11.2	11.2
01135	IMM	Rubidium, water, filtered, micrograms per liter	1	15	0	0	0	NA	-Inf	NA
01137	IMM	Rubidium, water, unfiltered, micrograms per liter	1	15	0	0	0	NA	-Inf	NA
01150	IMM	Titanium, water, filtered, micrograms per liter	.5	15	6	0	0	0.965	3.5	3.5
01152	IMM	Titanium, water, unfiltered, micrograms per liter	.5	15	7	0	0	1	1.9	1.9
01154	IMM	Tungsten, water, unfiltered, micrograms per liter	.5	15	3	0	0	0.68	0.78	0.78
01155	IMM	Tungsten, water, filtered, micrograms per liter	.5	15	2	0	0	0.71	0.78	0.78
01160	IMM	Zirconium, water, filtered, micrograms per liter	.2	15	3	0	0	0.4	1.7	1.7
01162	IMM	Zirconium, water, unfiltered, micrograms per liter	.2	15	3	0	0	0.91	1	1
01180	IMM	Lanthanum, water, filtered, micrograms per liter	.01	15	6	0	1	0.046	0.1	0.1
01182	IMM	Lanthanum, water, unfiltered, micrograms per liter	.01	15	7	0	1	0.057	0.19	0.19
01187	IMM	Scandium, water, filtered, micrograms per liter	.6	15	0	0	0	NA	-Inf	NA
01189	IMM	Scandium, water, unfiltered, micrograms per liter	.6	15	0	0	0	NA	-Inf	NA
01194	IMM	Ytterbium, water, filtered, micrograms per liter	.01	15	8	0	1	0.02	0.14	0.14
01196	IMM	Ytterbium, water, unfiltered, micrograms per liter	.01	15	8	0	1	0.02	0.13	0.13
01201	IMM	Yttrium, water, filtered, micrograms per liter	.01	15	5	0	0	0.02	0.06	0.06
