USGS SID,Sample start date (yyyymmdd),Sample start time (hhmm),medium code,Sample end date (yyyymmdd),Sample end time (hhmm),00956
391452106224201,20140923,1045,WS,,,4.5
391454106224201,20140923,1142,OAQ,,,0.2
391454106224201,20140923,1145,WS,,,19
391606106241601,20140923,1215,WG,,,30
391606106241601,20140923,1222,OAQ,,,0.2
391500106224901,20140923,1245,WG,,,22
391500106224901,20140923,1247,WGQ,,,25
391559106230901,20140923,1355,WG,,,23
391504106225200,20140923,1410,WG,,,4
391504106223001,20140923,1530,WS,,,4
391435106230801,20140923,1610,WG,,,24
391517106223801,20140923,1645,WG,,,15
391443106225701,20140924,0900,WS,,,10
391504106225201,20140924,0900,WS,,,18
391504106225201,20140924,0902,OAQ,,,0.2
391517106230602,20140924,1030,WS,,,21
391502106230601,20140924,1240,WS,,,27
391502106230601,20140924,1247,WSQ,,,23
391500106224901,20140923,1245,WG,,,23
391501106230601,20140924,1340,WG,,,26
391512106230401,20140924,1340,WG,,,31
391513106230401,20140924,1350,WG,,,29
391501106225401,20140924,1425,WS,,,21
391501106225401,20140924,1422,OAQ,,,0.2
391559106230901,20140923,1407,WGQ,,,23
391443106225701,20140924,0900,WS,,,11
391452106224201,20140529,1015,WS,,,4.1
391443106225701,20140529,1205,WS,,,12
391452106224201,20140529,1052,OAQ,,,0.2
391454106224201,20140529,1130,WS,,,14
391454106224201,20140529,1132,OAQ,,,0.2
391443106225701,20140529,1205,WS,,,11
391500106224901,20140529,1215,WG,,,16
391504106225200,20140529,1330,WG,,,24
391504106225201,20140529,1400,WS,,,15
391504106225201,20140529,1407,WSQ,,,15
391435106230801,20140529,1440,WG,,,26
391501106225401,20140529,1530,WS,,,13
391502106230601,20140529,1625,WS,,,13
391502106230601,20140529,1627,WSQ,,,12
391501106230601,20140529,1630,WG,,,19
391504106223001,20140530,0920,WS,,,3.6
391504106223001,20140530,0922,OAQ,,,0.2
391559106230901,20140530,0940,WG,,,23
391559106230901,20140530,0947,WGQ,,,23
391517106223801,20140530,1000,WG,,,15
391517106223801,20140530,1007,WGQ,,,15
391517106230602,20140530,1300,WS,,,18
391512106230401,20140530,1555,WG,,,32
391513106230401,20140530,1605,WG,,,30
391606106241601,20140612,1240,WG,,,19
391530106223601,20140530,1305,WS,,,9.8
391600106235701,20140612,1155,WS,,,7.2
391530106223601,20140530,1302,OAQ,,,0.2
391501106230601,20140529,1630,WG,,,20
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
